Locator,Sampledate,Depth,Updown,CastNotes,Chlorophyll,Chlorophyll_Qual,Density,Density_Qual,DO,DO_Qual,SigmaTheta,SigmaTheta_Qual,Light_Transmission,Light_Qual,PAR,PAR_Qual,Surface_PAR,Surface_PAR_Qual,Salinity,Salinity_Qual,Temperature,Temperature_Qual,Turbidity,Turbidity_Qual,NO23,NO23_Qual,Date,Year,Month,Day,YearDay,Bin,BinDepth,Density_mean,Density_sd,Density_n,DO_mean,DO_sd,DO_n,SigmaTheta_mean,SigmaTheta_sd,SigmaTheta_n,Salinity_mean,Salinity_sd,Salinity_n,Temperature_mean,Temperature_sd,Temperature_n,Chlorophyll_mean,Chlorophyll_sd,Chlorophyll_n,Light_Transmission_mean,Light_Transmission_sd,Light_Transmission_n,PAR_mean,PAR_sd,PAR_n,Surface_PAR_mean,Surface_PAR_sd,Surface_PAR_n,Turbidity_mean,Turbidity_sd,Turbidity_n,NO23_mean,NO23_sd,NO23_n,Depth_Qual_Auto,Chlorophyll_Qual_Auto,Density_Qual_Auto,DO_Qual_Auto,SigmaTheta_Qual_Auto,Light_Transmission_Qual_Auto,PAR_Qual_Auto,Surface_PAR_Qual_Auto,Salinity_Qual_Auto,Temperature_Qual_Auto,Turbidity_Qual_Auto,NO23_Qual_Auto,flag_reason
KSBP01,2000-12-20T09:52:00Z,0.5,Down,NA,-1.77,E,1022.544,rej,9.049,rej,22.5416,rej,NA,NA,24.32,rej,33.4,rej,29.2038,rej,9.28,rej,1.99,rej,NA,NA,2000-12-20,2000,12,20,355,"(0,0.5]",0.25,1022.188,0.860851903639638,13,7.636,0.30952867395444994,13,21.79722307692308,1.3944526071508285,13,28.768449999999998,1.123311279209819,13,9.386,0.11653611743432413,13,0.88,0.2487971060924945,13,61.63666666666667,31.9945080703965,13,151.12692307692308,143.18301111890656,13,131.79166666666666,130.02991584689855,13,2.7885714285714287,4.929034484803383,13,NA,NA,13,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2001-02-20T13:13:00Z,0.5,Down,SJ marked as rejected,-1.01,E,1022.922,rej,11.238,rej,22.92,rej,NA,NA,894.19,rej,900.3,rej,29.4467,rej,7.971,rej,NA,NA,NA,NA,2001-02-20,2001,2,20,51,"(0,0.5]",0.25,1021.441,1.0055826669150418,14,8.958,0.5558515989002825,14,20.755442857142857,2.6482949680921077,14,27.55406,1.2858756736170096,14,7.947,0.48027075696944127,14,7.193333333333333,9.566610336651815,14,38.76714285714286,31.883446443928506,14,343.69428571428574,328.71211137534186,14,268.8285714285714,213.9005715408318,14,0.9516666666666667,1.0107901199886486,14,NA,NA,14,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2001-02-20T13:14:00Z,1,Down,SJ marked as rejected,-0.31,E,1023.303,rej,10.447,rej,23.298,rej,NA,NA,559.47,rej,811.1,rej,29.9287,rej,7.97,rej,NA,NA,NA,NA,2001-02-20,2001,2,20,51,"(0.5,1]",0.75,1021.445347826087,1.4687211075284499,31,8.771571428571429,0.5183580395275615,31,21.51774516129032,1.4521068775721961,31,27.577369565217392,1.9108073499379978,31,8.057434782608695,0.5711623575964875,31,2.5776190476190477,3.3322828582848496,31,84.25625,6.12440081363777,31,184.34,223.1580329721518,31,305.0935483870968,300.57313911424166,31,1.1466666666666667,0.544671154612273,31,0.4230888888888889,0.017468217170367194,31,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2001-03-21T13:28:00Z,0.5,Down,NA,-0.91,E,1023.273,Rej,9.302,Rej,23.2711,Rej,NA,NA,986.01,Rej,1453.6,Rej,29.9653,Rej,8.367,Rej,NA,NA,NA,NA,2001-03-21,2001,3,21,80,"(0,0.5]",0.25,1021.1391428571428,1.0810540271067963,12,8.912,NA,12,20.431433333333334,4.328976964875679,12,27.259814285714285,1.309479246912771,12,8.473714285714285,0.7815799627007066,12,1.32,NA,12,44.266,30.666942788611976,12,751.2575,467.1894069885069,12,496.275,450.37009654686926,12,0.33999999999999997,0.5183435154412563,12,NA,NA,12,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2001-05-22T15:37:00Z,1,Down,NA,46.04,E,1021.032,rej,15.101,rej,21.0274,rej,NA,NA,766.78,rej,1375.9,rej,27.7445,rej,11.622,rej,NA,NA,NA,NA,2001-05-22,2001,5,22,142,"(0.5,1]",0.75,1020.9759166666666,1.4763703705420468,29,10.871444444444444,1.464371064443396,29,21.067458620689656,1.3651331770504094,29,27.522412499999998,1.7119726301429867,29,10.910666666666668,1.155302281794181,29,6.654705882352941,4.549118208025401,29,72.86090909090909,20.02780945373586,29,532.7255172413793,429.6553917434147,29,754.6115384615384,407.557970675999,29,1.29,0.9933982081723319,29,0.17551666666666668,0.09148449959783715,29,NA,NA,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,DO
KSBP01,2001-06-18T14:14:00Z,0.5,Down,NA,-3.02,E,1019.875,rej,9.5,rej,19.8726,rej,NA,NA,0.06,Rej,1365.7,rej,26.6439,rej,13.308,rej,NA,NA,NA,NA,2001-06-18,2001,6,18,169,"(0,0.5]",0.25,1018.9792,3.413836800434369,11,9.475999999999999,0.2531442276647831,11,17.20161818181818,4.939451272321286,11,25.4664,4.615629554567827,11,13.164,1.6718914438443664,11,NA,NA,11,25.252499999999998,43.833052502268956,11,1270.871818181818,1029.1528202246561,11,824.84,368.27778827039424,11,0.6433333333333333,0.8271557692881473,11,NA,NA,11,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2001-07-23T13:27:00Z,0.5,Up,Downcast rejected due to CTD pump setting; DO may be biased low,2.25,NA,1022.604,NA,8.046,NA,22.6018,NA,NA,NA,2432.8,NA,1457.5,NA,30.0512,NA,12.793,NA,-0.02,NA,NA,NA,2001-07-23,2001,7,23,204,"(0,0.5]",0.25,1021.0827142857142,1.144242211288861,16,8.6045,0.7898382745853743,16,16.68563125,6.214670178507062,16,28.48372857142857,1.3665391111786565,16,14.374857142857143,0.8951051015702811,16,1.88,0.5232590180780452,16,24.1925,25.34998887010181,16,1831.825,930.7631469355312,16,1190.9357142857143,433.66485572145695,16,0.47875,0.9410091467598571,16,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rej,NA,Turb
KSBP01,2001-10-23T10:30:00Z,0.5,Down,NA,-1.14,E,1022.187,Rej,9.53,Rej,22.1846,Rej,NA,NA,898.6,Rej,838.2,Rej,29.3036,Rej,11.916,Rej,0.01,Rej,NA,NA,2001-10-23,2001,10,23,296,"(0,0.5]",0.25,1022.537,0.521307970397569,12,7.0965,0.9056520671133401,12,21.22735,4.217464574297518,12,29.8159,0.7473994603512472,12,12.16175,0.7143464962234128,12,1.5366666666666666,0.5329477773040557,12,63.38,37.50363271293418,12,434.5125,300.22203471688323,12,357.1454545454545,271.06131174933967,12,0.955,0.8727460766372509,12,NA,NA,12,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2001-10-23T10:30:00Z,1,Down,NA,-1.14,E,1023.348,Rej,6.34,Rej,23.3431,Rej,NA,NA,393.24,Rej,909.3,Rej,30.7918,Rej,11.889,Rej,0.05,Rej,NA,NA,2001-10-23,2001,10,23,296,"(0.5,1]",0.75,1022.7415652173913,0.33511189801276614,32,6.7991,0.6070488491572632,32,22.277084375,2.4623956927781734,32,30.141465217391303,0.45520570036442726,32,12.435478260869566,0.5142376413475156,32,2.602,3.789050151770438,32,77.91041666666666,23.162466730385862,32,465.2303125,1006.836420254806,32,331.2161290322581,279.2512501873229,32,0.495,0.7015900308788399,32,0.30461,0.02371565118463145,32,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2001-11-19T09:30:00Z,0.5,Down,NA,-1.75,E,1021.598,rej,8.989,rej,21.596,rej,NA,NA,33.54,rej,31.5,rej,28.2982,rej,10.8,rej,1.39,rej,NA,NA,2001-11-19,2001,11,19,323,"(0,0.5]",0.25,1021.741,1.648324603953972,14,7.85975,1.1626032212238189,14,20.840142857142858,3.6055539074545035,14,28.44018,2.2411086959360094,14,10.5738,0.8145220684548699,14,1.0125,0.8040470550077692,14,50.41,28.55716781008462,14,310.7685714285714,342.8645864535386,14,175.9714285714286,138.83916776433986,14,4.974285714285714,5.2172433881723945,14,NA,NA,14,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
